Feature,Importance
num__area,0.4948399588653854
num__bathrooms,0.17114588344442666
cat__airconditioning_no,0.05318897513687607
cat__airconditioning_yes,0.05137780975338823
num__parking,0.04940438678953946
num__bedrooms,0.04602087667475508
cat__furnishingstatus_unfurnished,0.029140620874618363
num__stories,0.027810843288129338
cat__basement_no,0.019429663200340064
cat__basement_yes,0.013264150559585559
cat__mainroad_no,0.012175418708851788
cat__prefarea_no,0.011132633271197475
cat__guestroom_no,0.007096254294744427
cat__prefarea_yes,0.006441808859887062
cat__mainroad_yes,0.0029239791524194488
cat__hotwaterheating_no,0.0022697129168448823
cat__hotwaterheating_yes,0.001081407119144895
cat__guestroom_yes,0.0007555792253669854
cat__furnishingstatus_furnished,0.00028373671898398117
cat__furnishingstatus_semi-furnished,0.00021630114551484433
