Feature,Importance
num__area,0.4646139480679571
num__bathrooms,0.15472784800870434
num__parking,0.0547653058034561
num__stories,0.05277281123877023
num__bedrooms,0.048417296064754194
cat__furnishingstatus_unfurnished,0.03878093206720085
cat__airconditioning_yes,0.02852207641581507
cat__airconditioning_no,0.024843014776859337
cat__basement_yes,0.01697295081484165
cat__basement_no,0.01624954794896158
cat__prefarea_no,0.015888784229367285
cat__prefarea_yes,0.014742629163899528
cat__hotwaterheating_yes,0.011743023499182161
cat__furnishingstatus_furnished,0.01172622502067464
cat__furnishingstatus_semi-furnished,0.010874671617169587
cat__hotwaterheating_no,0.008632877882398343
cat__guestroom_yes,0.008378107018189617
cat__guestroom_no,0.008111528066717133
cat__mainroad_yes,0.004919075682446985
cat__mainroad_no,0.004317346612634228
